"epoch","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"36","614","614","614","0.47380000352859497","0.47380000352859497","0.47380000352859497","614","614","614","0.4986000061035156","0.4986000061035156","0.4986000061035156","614","614","614","0.5684000253677368","0.5684000253677368","0.5684000253677368","614","614","614","0.7249000072479248","0.7249000072479248","0.7249000072479248"
"37","631","631","631","0.48410001397132874","0.48410001397132874","0.48410001397132874","631","631","631","0.498199999332428","0.498199999332428","0.498199999332428","631","631","631","0.576200008392334","0.576200008392334","0.576200008392334","631","631","631","0.7138000130653381","0.7138000130653381","0.7138000130653381"
"38","647","647","647","0.4672999978065491","0.4672999978065491","0.4672999978065491","647","647","647","0.4729999899864197","0.4729999899864197","0.4729999899864197","647","647","647","0.5115000009536743","0.5115000009536743","0.5115000009536743","647","647","647","0.7196999788284302","0.7196999788284302","0.7196999788284302"
"39","664","664","664","0.46540001034736633","0.46540001034736633","0.46540001034736633","664","664","664","0.4645000100135803","0.4645000100135803","0.4645000100135803","664","664","664","0.5641999840736389","0.5641999840736389","0.5641999840736389","664","664","664","0.7386000156402588","0.7386000156402588","0.7386000156402588"
"40","681","681","681","0.47189998626708984","0.47189998626708984","0.47189998626708984","681","681","681","0.47269999980926514","0.47269999980926514","0.47269999980926514","681","681","681","0.5555999875068665","0.5555999875068665","0.5555999875068665","681","681","681","0.7300999760627747","0.7300999760627747","0.7300999760627747"
"41","697","697","697","0.4627000093460083","0.4627000093460083","0.4627000093460083","697","697","697","0.4805000126361847","0.4805000126361847","0.4805000126361847","697","697","697","0.5440000295639038","0.5440000295639038","0.5440000295639038","697","697","697","0.7221999764442444","0.7221999764442444","0.7221999764442444"
"42","714","714","714","0.4702000021934509","0.4702000021934509","0.4702000021934509","714","714","714","0.48510000109672546","0.48510000109672546","0.48510000109672546","714","714","714","0.5613999962806702","0.5613999962806702","0.5613999962806702","714","714","714","0.7351999878883362","0.7351999878883362","0.7351999878883362"
"43","731","731","731","0.44940000772476196","0.44940000772476196","0.44940000772476196","731","731","731","0.4438999891281128","0.4438999891281128","0.4438999891281128","731","731","731","0.5281000137329102","0.5281000137329102","0.5281000137329102","731","731","731","0.7328000068664551","0.7328000068664551","0.7328000068664551"
"44","747","747","747","0.47209998965263367","0.47209998965263367","0.47209998965263367","747","747","747","0.4814999997615814","0.4814999997615814","0.4814999997615814","747","747","747","0.5713000297546387","0.5713000297546387","0.5713000297546387","747","747","747","0.71670001745224","0.71670001745224","0.71670001745224"
"45","764","764","764","0.47049999237060547","0.47049999237060547","0.47049999237060547","764","764","764","0.47909998893737793","0.47909998893737793","0.47909998893737793","764","764","764","0.5882999897003174","0.5882999897003174","0.5882999897003174","764","764","764","0.732699990272522","0.732699990272522","0.732699990272522"
"46","781","781","781","0.4706999957561493","0.4706999957561493","0.4706999957561493","781","781","781","0.4706000089645386","0.4706000089645386","0.4706000089645386","781","781","781","0.5586000084877014","0.5586000084877014","0.5586000084877014","781","781","781","0.7365000247955322","0.7365000247955322","0.7365000247955322"
"47","797","797","797","0.46470001339912415","0.46470001339912415","0.46470001339912415","797","797","797","0.5060999989509583","0.5060999989509583","0.5060999989509583","797","797","797","0.5910999774932861","0.5910999774932861","0.5910999774932861","797","797","797","0.723800003528595","0.723800003528595","0.723800003528595"
"48","814","814","814","0.4526999890804291","0.4526999890804291","0.4526999890804291","814","814","814","0.49790000915527344","0.49790000915527344","0.49790000915527344","814","814","814","0.4652000069618225","0.4652000069618225","0.4652000069618225","814","814","814","0.7336999773979187","0.7336999773979187","0.7336999773979187"
"49","831","831","831","0.4684000015258789","0.4684000015258789","0.4684000015258789","831","831","831","0.49149999022483826","0.49149999022483826","0.49149999022483826","831","831","831","0.5659000277519226","0.5659000277519226","0.5659000277519226","831","831","831","0.7378000020980835","0.7378000020980835","0.7378000020980835"
"50","847","847","847","0.45239999890327454","0.45239999890327454","0.45239999890327454","847","847","847","0.48170000314712524","0.48170000314712524","0.48170000314712524","847","847","847","0.5903000235557556","0.5903000235557556","0.5903000235557556","847","847","847","0.7430999875068665","0.7430999875068665","0.7430999875068665"
"51","864","864","864","0.4790000021457672","0.4790000021457672","0.4790000021457672","864","864","864","0.49219998717308044","0.49219998717308044","0.49219998717308044","864","864","864","0.5771999955177307","0.5771999955177307","0.5771999955177307","864","864","864","0.7339000105857849","0.7339000105857849","0.7339000105857849"
"52","880","880","880","0.4602999985218048","0.4602999985218048","0.4602999985218048","880","880","880","0.4494999945163727","0.4494999945163727","0.4494999945163727","880","880","880","0.5879999995231628","0.5879999995231628","0.5879999995231628","880","880","880","0.73580002784729","0.73580002784729","0.73580002784729"
"53","897","897","897","0.4657999873161316","0.4657999873161316","0.4657999873161316","897","897","897","0.4560000002384186","0.4560000002384186","0.4560000002384186","897","897","897","0.5541999936103821","0.5541999936103821","0.5541999936103821","897","897","897","0.7376000285148621","0.7376000285148621","0.7376000285148621"
"54","914","914","914","0.4523000121116638","0.4523000121116638","0.4523000121116638","914","914","914","0.4713999927043915","0.4713999927043915","0.4713999927043915","914","914","914","0.5846999883651733","0.5846999883651733","0.5846999883651733","914","914","914","0.7343000173568726","0.7343000173568726","0.7343000173568726"
