"epoch","CNN - _step","CNN - _step__MIN","CNN - _step__MAX","CNN - validate_no_aug_accuracy/dataloader_idx_1","CNN - validate_no_aug_accuracy/dataloader_idx_1__MIN","CNN - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-random_patches - _step","LLN-random_patches - _step__MIN","LLN-random_patches - _step__MAX","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-convFalse - _step","LLN-convFalse - _step__MIN","LLN-convFalse - _step__MAX","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-ours - _step","LLN-ours - _step__MIN","LLN-ours - _step__MAX","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"39","664","664","664","0.7085000276565552","0.7085000276565552","0.7085000276565552","664","664","664","0.7041000127792358","0.7041000127792358","0.7041000127792358","664","664","664","0.7311999797821045","0.7311999797821045","0.7311999797821045","664","664","664","0.7731999754905701","0.7731999754905701","0.7731999754905701"
"40","681","681","681","0.7135000228881836","0.7135000228881836","0.7135000228881836","681","681","681","0.6969000101089478","0.6969000101089478","0.6969000101089478","681","681","681","0.7333999872207642","0.7333999872207642","0.7333999872207642","681","681","681","0.7627999782562256","0.7627999782562256","0.7627999782562256"
"41","697","697","697","0.7010999917984009","0.7010999917984009","0.7010999917984009","697","697","697","0.7063000202178955","0.7063000202178955","0.7063000202178955","697","697","697","0.739300012588501","0.739300012588501","0.739300012588501","697","697","697","0.7578999996185303","0.7578999996185303","0.7578999996185303"
"42","714","714","714","0.7124000191688538","0.7124000191688538","0.7124000191688538","714","714","714","0.6972000002861023","0.6972000002861023","0.6972000002861023","714","714","714","0.7408000230789185","0.7408000230789185","0.7408000230789185","714","714","714","0.7623000144958496","0.7623000144958496","0.7623000144958496"
"43","731","731","731","0.6988999843597412","0.6988999843597412","0.6988999843597412","731","731","731","0.7070000171661377","0.7070000171661377","0.7070000171661377","731","731","731","0.7430999875068665","0.7430999875068665","0.7430999875068665","731","731","731","0.761900007724762","0.761900007724762","0.761900007724762"
"44","747","747","747","0.7080000042915344","0.7080000042915344","0.7080000042915344","747","747","747","0.7039999961853027","0.7039999961853027","0.7039999961853027","747","747","747","0.741599977016449","0.741599977016449","0.741599977016449","747","747","747","0.765500009059906","0.765500009059906","0.765500009059906"
"45","764","764","764","0.7113000154495239","0.7113000154495239","0.7113000154495239","764","764","764","0.6969000101089478","0.6969000101089478","0.6969000101089478","764","764","764","0.7351999878883362","0.7351999878883362","0.7351999878883362","764","764","764","0.7605000138282776","0.7605000138282776","0.7605000138282776"
"46","781","781","781","0.718999981880188","0.718999981880188","0.718999981880188","781","781","781","0.7105000019073486","0.7105000019073486","0.7105000019073486","781","781","781","0.741599977016449","0.741599977016449","0.741599977016449","781","781","781","0.7688000202178955","0.7688000202178955","0.7688000202178955"
"47","797","797","797","0.7064999938011169","0.7064999938011169","0.7064999938011169","797","797","797","0.7077000141143799","0.7077000141143799","0.7077000141143799","797","797","797","0.732200026512146","0.732200026512146","0.732200026512146","797","797","797","0.7577000260353088","0.7577000260353088","0.7577000260353088"
"48","814","814","814","0.7062000036239624","0.7062000036239624","0.7062000036239624","814","814","814","0.690500020980835","0.690500020980835","0.690500020980835","814","814","814","0.7470999956130981","0.7470999956130981","0.7470999956130981","814","814","814","0.7670999765396118","0.7670999765396118","0.7670999765396118"
"49","831","831","831","0.7253000140190125","0.7253000140190125","0.7253000140190125","831","831","831","0.7026000022888184","0.7026000022888184","0.7026000022888184","831","831","831","0.7319999933242798","0.7319999933242798","0.7319999933242798","831","831","831","0.7674000263214111","0.7674000263214111","0.7674000263214111"
"50","847","847","847","0.7217000126838684","0.7217000126838684","0.7217000126838684","847","847","847","0.7077999711036682","0.7077999711036682","0.7077999711036682","847","847","847","0.7369999885559082","0.7369999885559082","0.7369999885559082","847","847","847","0.7717999815940857","0.7717999815940857","0.7717999815940857"
"51","864","864","864","0.6949999928474426","0.6949999928474426","0.6949999928474426","864","864","864","0.6998999714851379","0.6998999714851379","0.6998999714851379","864","864","864","0.745199978351593","0.745199978351593","0.745199978351593","864","864","864","0.7731000185012817","0.7731000185012817","0.7731000185012817"
"52","880","880","880","0.7182999849319458","0.7182999849319458","0.7182999849319458","880","880","880","0.708899974822998","0.708899974822998","0.708899974822998","880","880","880","0.7470999956130981","0.7470999956130981","0.7470999956130981","880","880","880","0.7749999761581421","0.7749999761581421","0.7749999761581421"
"53","897","897","897","0.720300018787384","0.720300018787384","0.720300018787384","897","897","897","0.7110000252723694","0.7110000252723694","0.7110000252723694","897","897","897","0.7440000176429749","0.7440000176429749","0.7440000176429749","897","897","897","0.7612000107765198","0.7612000107765198","0.7612000107765198"
"54","914","914","914","0.7224000096321106","0.7224000096321106","0.7224000096321106","914","914","914","0.7024000287055969","0.7024000287055969","0.7024000287055969","914","914","914","0.753600001335144","0.753600001335144","0.753600001335144","914","914","914","0.765500009059906","0.765500009059906","0.765500009059906"
"55","930","930","930","0.7275999784469604","0.7275999784469604","0.7275999784469604","930","930","930","0.7024999856948853","0.7024999856948853","0.7024999856948853","930","930","930","0.7497000098228455","0.7497000098228455","0.7497000098228455","930","930","930","0.7645000219345093","0.7645000219345093","0.7645000219345093"
"56","947","947","947","0.7092000246047974","0.7092000246047974","0.7092000246047974","947","947","947","0.7107999920845032","0.7107999920845032","0.7107999920845032","947","947","947","0.7462000250816345","0.7462000250816345","0.7462000250816345","947","947","947","0.7609000205993652","0.7609000205993652","0.7609000205993652"
"57","964","964","964","0.7207000255584717","0.7207000255584717","0.7207000255584717","964","964","964","0.7096999883651733","0.7096999883651733","0.7096999883651733","964","964","964","0.7476999759674072","0.7476999759674072","0.7476999759674072","964","964","964","0.7746999859809875","0.7746999859809875","0.7746999859809875"
"58","980","980","980","0.7113999724388123","0.7113999724388123","0.7113999724388123","980","980","980","0.7105000019073486","0.7105000019073486","0.7105000019073486","980","980","980","0.741100013256073","0.741100013256073","0.741100013256073","980","980","980","0.7705000042915344","0.7705000042915344","0.7705000042915344"
"59","997","997","997","0.7300999760627747","0.7300999760627747","0.7300999760627747","997","997","997","0.7125999927520752","0.7125999927520752","0.7125999927520752","997","997","997","0.7415000200271606","0.7415000200271606","0.7415000200271606","997","997","997","0.7753000259399414","0.7753000259399414","0.7753000259399414"
"60","1014","1014","1014","0.7257999777793884","0.7257999777793884","0.7257999777793884","1014","1014","1014","0.7167999744415283","0.7167999744415283","0.7167999744415283","1014","1014","1014","0.7506999969482422","0.7506999969482422","0.7506999969482422","1014","1014","1014","0.775600016117096","0.775600016117096","0.775600016117096"
"61","1030","1030","1030","0.7192999720573425","0.7192999720573425","0.7192999720573425","1030","1030","1030","0.7141000032424927","0.7141000032424927","0.7141000032424927","1030","1030","1030","0.7412999868392944","0.7412999868392944","0.7412999868392944","1030","1030","1030","0.7698000073432922","0.7698000073432922","0.7698000073432922"
"62","1047","1047","1047","0.70660001039505","0.70660001039505","0.70660001039505","1047","1047","1047","0.7093999981880188","0.7093999981880188","0.7093999981880188","1047","1047","1047","0.7534999847412109","0.7534999847412109","0.7534999847412109","1047","1047","1047","0.7717000246047974","0.7717000246047974","0.7717000246047974"
"63","1063","1063","1063","0.7282999753952026","0.7282999753952026","0.7282999753952026","1063","1063","1063","0.7067999839782715","0.7067999839782715","0.7067999839782715","1063","1063","1063","0.7477999925613403","0.7477999925613403","0.7477999925613403","1063","1063","1063","0.7710000276565552","0.7710000276565552","0.7710000276565552"
"64","1080","1080","1080","0.7383999824523926","0.7383999824523926","0.7383999824523926","1080","1080","1080","0.7245000004768372","0.7245000004768372","0.7245000004768372","1080","1080","1080","0.7487000226974487","0.7487000226974487","0.7487000226974487","1080","1080","1080","0.7716000080108643","0.7716000080108643","0.7716000080108643"
"65","1097","1097","1097","0.7204999923706055","0.7204999923706055","0.7204999923706055","1097","1097","1097","0.7206000089645386","0.7206000089645386","0.7206000089645386","1097","1097","1097","0.7523000240325928","0.7523000240325928","0.7523000240325928","1097","1097","1097","0.7728000283241272","0.7728000283241272","0.7728000283241272"
"66","1113","1113","1113","0.7142000198364258","0.7142000198364258","0.7142000198364258","1113","1113","1113","0.7110000252723694","0.7110000252723694","0.7110000252723694","1113","1113","1113","0.7487000226974487","0.7487000226974487","0.7487000226974487","1113","1113","1113","0.7739999890327454","0.7739999890327454","0.7739999890327454"
"67","1130","1130","1130","0.7157999873161316","0.7157999873161316","0.7157999873161316","1130","1130","1130","0.7148000001907349","0.7148000001907349","0.7148000001907349","1130","1130","1130","0.75","0.75","0.75","1130","1130","1130","0.7709000110626221","0.7709000110626221","0.7709000110626221"
"68","1147","1147","1147","0.714900016784668","0.714900016784668","0.714900016784668","1147","1147","1147","0.7092000246047974","0.7092000246047974","0.7092000246047974","1147","1147","1147","0.7493000030517578","0.7493000030517578","0.7493000030517578","1147","1147","1147","0.7771999835968018","0.7771999835968018","0.7771999835968018"
"69","1163","1163","1163","0.7301999926567078","0.7301999926567078","0.7301999926567078","1163","1163","1163","0.7160000205039978","0.7160000205039978","0.7160000205039978","1163","1163","1163","0.7542999982833862","0.7542999982833862","0.7542999982833862","1163","1163","1163","0.7714999914169312","0.7714999914169312","0.7714999914169312"
"70","1180","1180","1180","0.7311999797821045","0.7311999797821045","0.7311999797821045","1180","1180","1180","0.7164999842643738","0.7164999842643738","0.7164999842643738","1180","1180","1180","0.7433000206947327","0.7433000206947327","0.7433000206947327","1180","1180","1180","0.7706000208854675","0.7706000208854675","0.7706000208854675"
"71","1197","1197","1197","0.7232999801635742","0.7232999801635742","0.7232999801635742","1197","1197","1197","0.7071999907493591","0.7071999907493591","0.7071999907493591","1197","1197","1197","0.7486000061035156","0.7486000061035156","0.7486000061035156","1197","1197","1197","0.7796000242233276","0.7796000242233276","0.7796000242233276"
"72","1213","1213","1213","0.7250000238418579","0.7250000238418579","0.7250000238418579","1213","1213","1213","0.7091000080108643","0.7091000080108643","0.7091000080108643","1213","1213","1213","0.7469000220298767","0.7469000220298767","0.7469000220298767","1213","1213","1213","0.7789999842643738","0.7789999842643738","0.7789999842643738"
"73","1230","1230","1230","0.7181000113487244","0.7181000113487244","0.7181000113487244","1230","1230","1230","0.7207000255584717","0.7207000255584717","0.7207000255584717","1230","1230","1230","0.7580999732017517","0.7580999732017517","0.7580999732017517","1230","1230","1230","0.7811999917030334","0.7811999917030334","0.7811999917030334"
"74","1247","1247","1247","0.7299000024795532","0.7299000024795532","0.7299000024795532","1247","1247","1247","0.7059999704360962","0.7059999704360962","0.7059999704360962","1247","1247","1247","0.7541000247001648","0.7541000247001648","0.7541000247001648","1247","1247","1247","0.777400016784668","0.777400016784668","0.777400016784668"
"75","1263","1263","1263","0.7260000109672546","0.7260000109672546","0.7260000109672546","1263","1263","1263","0.7167999744415283","0.7167999744415283","0.7167999744415283","1263","1263","1263","0.7534999847412109","0.7534999847412109","0.7534999847412109","1263","1263","1263","0.7738000154495239","0.7738000154495239","0.7738000154495239"
"76","1280","1280","1280","0.7389000058174133","0.7389000058174133","0.7389000058174133","1280","1280","1280","0.7139999866485596","0.7139999866485596","0.7139999866485596","1280","1280","1280","0.7634000182151794","0.7634000182151794","0.7634000182151794","1280","1280","1280","0.781000018119812","0.781000018119812","0.781000018119812"
"77","1296","1296","1296","0.7206000089645386","0.7206000089645386","0.7206000089645386","1296","1296","1296","0.7105000019073486","0.7105000019073486","0.7105000019073486","1296","1296","1296","0.7501000165939331","0.7501000165939331","0.7501000165939331","1296","1296","1296","0.7681999802589417","0.7681999802589417","0.7681999802589417"
"78","1313","1313","1313","0.7376999855041504","0.7376999855041504","0.7376999855041504","1313","1313","1313","0.7179999947547913","0.7179999947547913","0.7179999947547913","1313","1313","1313","0.7466999888420105","0.7466999888420105","0.7466999888420105","1313","1313","1313","0.7775999903678894","0.7775999903678894","0.7775999903678894"
"79","1330","1330","1330","0.7425000071525574","0.7425000071525574","0.7425000071525574","1330","1330","1330","0.7261000275611877","0.7261000275611877","0.7261000275611877","1330","1330","1330","0.7488999962806702","0.7488999962806702","0.7488999962806702","1330","1330","1330","0.7807999849319458","0.7807999849319458","0.7807999849319458"
