"epoch","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"33","564","564","564","0.6880999803543091","0.6880999803543091","0.6880999803543091","564","564","564","0.8379999995231628","0.8379999995231628","0.8379999995231628","564","564","564","0.8575000166893005","0.8575000166893005","0.8575000166893005","564","564","564","0.8561000227928162","0.8561000227928162","0.8561000227928162"
"34","581","581","581","0.7017999887466431","0.7017999887466431","0.7017999887466431","581","581","581","0.8321999907493591","0.8321999907493591","0.8321999907493591","581","581","581","0.8522999882698059","0.8522999882698059","0.8522999882698059","581","581","581","0.8597999811172485","0.8597999811172485","0.8597999811172485"
"35","598","598","598","0.6880000233650208","0.6880000233650208","0.6880000233650208","598","598","598","0.8417999744415283","0.8417999744415283","0.8417999744415283","598","598","598","0.8550000190734863","0.8550000190734863","0.8550000190734863","598","598","598","0.8438000082969666","0.8438000082969666","0.8438000082969666"
"36","614","614","614","0.6966999769210815","0.6966999769210815","0.6966999769210815","614","614","614","0.8464000225067139","0.8464000225067139","0.8464000225067139","614","614","614","0.8546000123023987","0.8546000123023987","0.8546000123023987","614","614","614","0.855400025844574","0.855400025844574","0.855400025844574"
"37","631","631","631","0.6934000253677368","0.6934000253677368","0.6934000253677368","631","631","631","0.8393999934196472","0.8393999934196472","0.8393999934196472","631","631","631","0.8611000180244446","0.8611000180244446","0.8611000180244446","631","631","631","0.8525000214576721","0.8525000214576721","0.8525000214576721"
"38","647","647","647","0.6935999989509583","0.6935999989509583","0.6935999989509583","647","647","647","0.8370000123977661","0.8370000123977661","0.8370000123977661","647","647","647","0.8557999730110168","0.8557999730110168","0.8557999730110168","647","647","647","0.866599977016449","0.866599977016449","0.866599977016449"
"39","664","664","664","0.6873000264167786","0.6873000264167786","0.6873000264167786","664","664","664","0.8277000188827515","0.8277000188827515","0.8277000188827515","664","664","664","0.8600000143051147","0.8600000143051147","0.8600000143051147","664","664","664","0.854200005531311","0.854200005531311","0.854200005531311"
"40","681","681","681","0.6891999840736389","0.6891999840736389","0.6891999840736389","681","681","681","0.8467000126838684","0.8467000126838684","0.8467000126838684","681","681","681","0.8589000105857849","0.8589000105857849","0.8589000105857849","681","681","681","0.8654999732971191","0.8654999732971191","0.8654999732971191"
"41","697","697","697","0.6952000260353088","0.6952000260353088","0.6952000260353088","697","697","697","0.8438000082969666","0.8438000082969666","0.8438000082969666","697","697","697","0.8666999936103821","0.8666999936103821","0.8666999936103821","697","697","697","0.8616999983787537","0.8616999983787537","0.8616999983787537"
"42","714","714","714","0.6952999830245972","0.6952999830245972","0.6952999830245972","714","714","714","0.8422999978065491","0.8422999978065491","0.8422999978065491","714","714","714","0.859000027179718","0.859000027179718","0.859000027179718","714","714","714","0.8608999848365784","0.8608999848365784","0.8608999848365784"
"43","731","731","731","0.7067000269889832","0.7067000269889832","0.7067000269889832","731","731","731","0.8453999757766724","0.8453999757766724","0.8453999757766724","731","731","731","0.8658000230789185","0.8658000230789185","0.8658000230789185","731","731","731","0.8673999905586243","0.8673999905586243","0.8673999905586243"
"44","747","747","747","0.7014999985694885","0.7014999985694885","0.7014999985694885","747","747","747","0.8420000076293945","0.8420000076293945","0.8420000076293945","747","747","747","0.8672999739646912","0.8672999739646912","0.8672999739646912","747","747","747","0.8564000129699707","0.8564000129699707","0.8564000129699707"
"45","764","764","764","0.6902999877929688","0.6902999877929688","0.6902999877929688","764","764","764","0.8457000255584717","0.8457000255584717","0.8457000255584717","764","764","764","0.8614000082015991","0.8614000082015991","0.8614000082015991","764","764","764","0.8658999800682068","0.8658999800682068","0.8658999800682068"
"46","781","781","781","0.7113999724388123","0.7113999724388123","0.7113999724388123","781","781","781","0.8485999703407288","0.8485999703407288","0.8485999703407288","781","781","781","0.8707000017166138","0.8707000017166138","0.8707000017166138","781","781","781","0.8654000163078308","0.8654000163078308","0.8654000163078308"
"47","797","797","797","0.6933000087738037","0.6933000087738037","0.6933000087738037","797","797","797","0.824400007724762","0.824400007724762","0.824400007724762","797","797","797","0.8686000108718872","0.8686000108718872","0.8686000108718872","797","797","797","0.8587999939918518","0.8587999939918518","0.8587999939918518"
"48","814","814","814","0.6972000002861023","0.6972000002861023","0.6972000002861023","814","814","814","0.8420000076293945","0.8420000076293945","0.8420000076293945","814","814","814","0.8658000230789185","0.8658000230789185","0.8658000230789185","814","814","814","0.8539999723434448","0.8539999723434448","0.8539999723434448"
"49","831","831","831","0.7102000117301941","0.7102000117301941","0.7102000117301941","831","831","831","0.8485999703407288","0.8485999703407288","0.8485999703407288","831","831","831","0.859499990940094","0.859499990940094","0.859499990940094","831","831","831","0.8647000193595886","0.8647000193595886","0.8647000193595886"
"50","847","847","847","0.6850000023841858","0.6850000023841858","0.6850000023841858","847","847","847","0.8331000208854675","0.8331000208854675","0.8331000208854675","847","847","847","0.8575999736785889","0.8575999736785889","0.8575999736785889","847","847","847","0.8664000034332275","0.8664000034332275","0.8664000034332275"
"51","864","864","864","0.7032999992370605","0.7032999992370605","0.7032999992370605","864","864","864","0.845300018787384","0.845300018787384","0.845300018787384","864","864","864","0.8694999814033508","0.8694999814033508","0.8694999814033508","864","864","864","0.8701000213623047","0.8701000213623047","0.8701000213623047"
"52","880","880","880","0.7184000015258789","0.7184000015258789","0.7184000015258789","880","880","880","0.8507999777793884","0.8507999777793884","0.8507999777793884","880","880","880","0.8458999991416931","0.8458999991416931","0.8458999991416931","880","880","880","0.8672999739646912","0.8672999739646912","0.8672999739646912"
"53","897","897","897","0.7150999903678894","0.7150999903678894","0.7150999903678894","897","897","897","0.8375999927520752","0.8375999927520752","0.8375999927520752","897","897","897","0.8492000102996826","0.8492000102996826","0.8492000102996826","897","897","897","0.8621000051498413","0.8621000051498413","0.8621000051498413"
"54","914","914","914","0.7184000015258789","0.7184000015258789","0.7184000015258789","914","914","914","0.8482999801635742","0.8482999801635742","0.8482999801635742","914","914","914","0.869700014591217","0.869700014591217","0.869700014591217","914","914","914","0.8618000149726868","0.8618000149726868","0.8618000149726868"
"55","930","930","930","0.7190999984741211","0.7190999984741211","0.7190999984741211","930","930","930","0.8514999747276306","0.8514999747276306","0.8514999747276306","930","930","930","0.8709999918937683","0.8709999918937683","0.8709999918937683","930","930","930","0.8644999861717224","0.8644999861717224","0.8644999861717224"
"56","947","947","947","0.7242000102996826","0.7242000102996826","0.7242000102996826","947","947","947","0.8529000282287598","0.8529000282287598","0.8529000282287598","947","947","947","0.8762999773025513","0.8762999773025513","0.8762999773025513","947","947","947","0.8701000213623047","0.8701000213623047","0.8701000213623047"
"57","964","964","964","0.722599983215332","0.722599983215332","0.722599983215332","964","964","964","0.8504999876022339","0.8504999876022339","0.8504999876022339","964","964","964","0.8605999946594238","0.8605999946594238","0.8605999946594238","964","964","964","0.8640999794006348","0.8640999794006348","0.8640999794006348"
"58","980","980","980","0.7099999785423279","0.7099999785423279","0.7099999785423279","980","980","980","0.8526999950408936","0.8526999950408936","0.8526999950408936","980","980","980","0.8702999949455261","0.8702999949455261","0.8702999949455261","980","980","980","0.8619999885559082","0.8619999885559082","0.8619999885559082"
